# Four-tile direct derivation wait report

allFourTileShapes: 66045
enumeratedDerivations: 5100
tenpaiReports: 3756

## Reducibility

### Reducible
count: 1647
waitCoreCacheHits: 1802
waitCoreCacheMisses: 34
waitCoreCacheEntries: 34

### Irreducible
count: 2109

#### Groups by waitDecompositionCodes
groupCount: 11
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
[9, 9]	7137	561	2233p	23p
[33, 34]	23789	12	1222p	13p
[15, 15]	11895	540	23p77z	14p
[21, 34]	23780	42	1113p	23p
[15, 15, 34]	18829815	36	5666p	457p
[21]	20	651	57m77s	6m
[33]	29	186	22m12s	3s
[15, 15, 26]	15066231	36	3345m	36m
[21, 26]	19028	21	4556p	5p
[26, 33]	22992	6	7789s	7s
[26, 26]	19032	18	3456m	36m

## Wait tile count distribution
1 wait tile kinds: 2511
2 wait tile kinds: 1209
3 wait tile kinds: 36
4 wait tile kinds: 0

## Tenpai reports
tiles	waits	reducibility	waitDecompositionCodes	waitDecompositionCodesKey
2233p	23p	irreducible	[9, 9]	7137
1222p	13p	irreducible	[33, 34]	23789
1112p	23p	irreducible	[33, 34]	23789
22p77z	2p7z	irreducible	[9, 9]	7137
333p7z	7z	reducible	[34]	30
6777z	6z	reducible	[34]	30
9m333p	9m	reducible	[34]	30
66m77s	6m7s	irreducible	[9, 9]	7137
777m4p	4p	reducible	[34]	30
6677z	67z	irreducible	[9, 9]	7137
9p111z	9p	reducible	[34]	30
23p77z	14p	irreducible	[15, 15]	11895
4m111p	4m	reducible	[34]	30
6667z	7z	reducible	[34]	30
33m44s	3m4s	irreducible	[9, 9]	7137
67p88s	58p	irreducible	[15, 15]	11895
2p666z	2p	reducible	[34]	30
99m23p	14p	irreducible	[15, 15]	11895
7p333s	7p	reducible	[34]	30
67m44p	58m	irreducible	[15, 15]	11895
99m44z	9m4z	irreducible	[9, 9]	7137
1113p	23p	irreducible	[21, 34]	23780
4568s	8s	reducible	[26]	24
1188m	18m	irreducible	[9, 9]	7137
5777z	5z	reducible	[34]	30
555m2s	2s	reducible	[34]	30
2p777z	2p	reducible	[34]	30
33p44z	3p4z	irreducible	[9, 9]	7137
8m222p	8m	reducible	[34]	30
5666z	5z	reducible	[34]	30
77p23s	14s	irreducible	[15, 15]	11895
5666p	457p	irreducible	[15, 15, 34]	18829815
333p5z	5z	reducible	[34]	30
57m77s	6m	irreducible	[21]	20
34p44z	25p	irreducible	[15, 15]	11895
5577z	57z	irreducible	[9, 9]	7137
45m22s	36m	irreducible	[15, 15]	11895
333p6z	6z	reducible	[34]	30
7788m	78m	irreducible	[9, 9]	7137
5566z	56z	irreducible	[9, 9]	7137
444p1s	1s	reducible	[34]	30
22p66z	2p6z	irreducible	[9, 9]	7137
22m12s	3s	irreducible	[33]	29
24m11z	3m	irreducible	[21]	20
88m12p	3p	irreducible	[33]	29
8p999s	8p	reducible	[34]	30
345m1s	1s	reducible	[26]	24
9m234s	9m	reducible	[26]	24
88m77s	8m7s	irreducible	[9, 9]	7137
5557z	7z	reducible	[34]	30
456p3s	3s	reducible	[26]	24
5556z	6z	reducible	[34]	30
9m567s	9m	reducible	[26]	24
5556p	467p	irreducible	[15, 15, 34]	18829815
23p55z	14p	irreducible	[15, 15]	11895
5789s	5s	reducible	[26]	24
66m35p	4p	irreducible	[21]	20
6p222s	6p	reducible	[34]	30
11m22z	1m2z	irreducible	[9, 9]	7137
1178s	69s	irreducible	[15, 15]	11895
333p6s	6s	reducible	[34]	30
4448m	8m	reducible	[34]	30
55m33s	5m3s	irreducible	[9, 9]	7137
23p66z	14p	irreducible	[15, 15]	11895
34p11s	25p	irreducible	[15, 15]	11895
