# Ten-tile direct derivation wait report

allTenTileShapes: 1900269316
enumeratedDerivations: 5536779
tenpaiReports: 3431439

## Reducibility

### Reducible
count: 3416313
waitCoreCacheHits: 3701891
waitCoreCacheMisses: 295762
waitCoreCacheEntries: 295762

### Irreducible
count: 15126

#### Groups by waitDecompositionCodes
groupCount: 199
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
[2535, 2535, 3549, 5577]	214353938640	336	12345567m33s	36m
[2601, 2601, 3549]	236121677	615	44m11122333s	4m2s
[1521, 1521, 1521]	173971789	510	11223344p22s	14p2s
[1521, 1521, 3315, 3315, 4641]	161108242318861	1476	33345567m55p	36m5p
[1521, 1521, 3315, 3315, 3315]	144976377165325	495	55p45678999s	5p369s
[1989, 1989, 1989, 4335, 4335]	158370874164667	540	88m33345666p	8m36p
[1521, 3315]	291733	2088	67788889p22s	5p2s
[2535, 2535, 2601, 2601]	169620606480	1050	77m66777888p	7m69p
[1521, 1521, 3315, 3315, 3315, 5746]	135388238462400013	36	1112344456m	147m
[2535, 2535]	266448	243	67p55667788s	58p
[2535, 2535, 2535, 4394, 5577]	169782229609680	18	1234567899p	369p
[2535, 2535, 2535, 3549, 5746]	170948699780304	30	2333445566m	1247m
[3315, 3315, 3549, 5746, 7293]	182781342666224	24	1234566888m	367m
[2535, 2535, 3315, 3315, 3549, 5577, 5746, 5746]	84940476668729042005200	18	1112233445s	2356s
[2535, 2535, 2535, 3549, 4394]	159144896009424	54	3456778889p	258p
[2535, 2535, 2601, 2601, 3315, 3315, 3549, 5746]	84926142437888993529360	24	3334445566m	24567m
[3549, 4394, 4394, 4394]	200958142552	21	1223345678m	258m
[2535, 2535, 3549, 4394, 4394]	159158831306448	102	1233455678m	258m
[2535, 2535, 2535, 3549]	187005228240	567	22p23456678s	147s
[1521]	277	975	44555566m11s	1s
[1521, 1521, 3315, 3315, 4641, 5746]	135404370327553549	30	2333445666p	36p
[1521, 1521, 3315, 3315, 3315, 3315]	114821290772018701	468	11123m67888p	14m58p
[3315, 3315, 4335, 4335, 4641, 7514]	145687861085108336	48	1113344445m	2356m
[4641, 4641, 7514, 9537]	248193007537	6	1111233555m	234m
[2535, 2535, 3549, 3549]	187030318800	360	34556678m55s	47m
[2535, 2535, 3315, 3315, 3315, 5746]	135388238462446800	12	2233334567m	12458m
[2535, 2535, 3315, 3315, 5577, 5746, 5746]	107248076597956238544	18	4555566789s	34679s
[4641]	409	288	79p33345666s	8p
[3549]	376	288	22334455m13p	2p
[3315, 3315]	291824	234	33345666p34s	25s
[1989, 1989, 2535, 6069, 9537]	196557389857531	6	1111222333s	234s
[2535, 2535, 3315, 3315, 3549, 5746, 5746]	107248054957649325264	12	2344566667p	14578p
[3549, 4641, 5746, 5746]	215880757072	18	2334456888p	367p
[1521, 1521, 4641, 7293]	230768763469	108	23334p12333s	3p3s
[1521, 1521, 3315, 3315, 7293]	182748549232141	348	77789m56777p	7m47p
[1521, 1521, 3315, 3315, 4335, 4335, 4641, 4641, 7514]	72376724120222984923338253	24	4445556678p	45679p
[2535, 2535, 2535, 5577]	214328848080	150	22p12345678s	369s
[1521, 1521, 3315, 3315, 3315, 4641, 7514]	115384772584870491661	18	2223456667m	25678m
[1521, 3315, 3315]	231124885	243	34555567m33s	28m3s
[2535, 2535, 3315, 3315, 3549, 4641, 5746]	107240264447160544464	90	1233455666p	2457p
[1521, 3315, 5746]	272524309	72	5666677899s	9s
[3315, 3315, 3315, 7514]	232233497072	36	4444567888p	3679p
[3315, 3315, 4641, 7293, 7514, 7514]	145710712577961008	18	3335678999p	4578p
[3315, 3315, 3315, 3549, 5746]	170948719878128	42	3456666788m	2578m
[1989, 1989, 2535, 2535]	167133481723	36	2233456777s	1234s
