# Thirteen-tile direct derivation wait report

generationWorkers: 16
classificationWorkers: 8
bucketCount: 256
generationReused: false

allThirteenTileShapes: 98521596000
enumeratedDerivations: 93251547
tenpaiReports: 54747045

## Reducibility

### Reducible
count: 54707433
waitCoreCacheHits: 59314756
waitCoreCacheMisses: 7282138
waitCoreCacheEntries: 7282138

### Irreducible
count: 39612

#### Groups by waitDecompositionCodes
groupCount: 708
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
[32955, 32955, 32955, 33813, 33813]	251344913000387	474	23455566677p99s	147p9s
[25857, 25857, 56355]	428903456	2088	33344556666m22p	3m2p
[32955, 32955, 43095, 43095, 43095, 46137, 72501, 74698, 74698]	109124635720278073000428419	12	4555566677889m	34679m
[19773, 19773, 19773, 43095, 43095, 44217, 44217]	163343269401445392125	1020	11122233344p11z	14p1z
[19773, 43095, 43095, 43095]	327303113333	1812	34444556m66678p	7m69p
[43095, 43095, 60333]	430824898	384	67789m44456777p	58m
[19773, 19773, 43095, 43095, 43095, 60333]	214030831877905469	1089	12334567888s55z	258s5z
[19773, 19773, 43095, 43095, 43095, 43095, 60333]	169512418847349431357	756	22234m12334555s	25m25s
[19773, 43095, 60333]	430824821	2880	23334m44445566s	3m7s
[32955, 32955, 32955, 33813, 33813, 73695, 73695]	173722091215914264515	486	99m45666777888p	9m369p
[32955, 32955, 33813, 33813, 46137, 103173]	226186772512919171	858	55566667778p33s	47p3s
[32955, 32955, 33813, 33813, 46137, 73695, 73695]	173722101839339540099	852	55566677778m44s	69m4s
[32955, 32955, 32955, 46137, 46137]	261981749807555	405	55p12334567789s	258s
[43095, 43095, 56355, 56355, 60333, 60333, 97682]	177665666533806954754	18	3455666678888p	2457p
[32955, 32955, 33813, 33813, 72501]	276132902801027	162	66p12344455566s	6p36s
[19773, 19773, 19773, 43095, 43095]	259224017460989	930	66678m44556677p	69m47p
[19773, 43095, 43095]	413261429	1890	22234m11222233p	25m
[19773, 19773, 43095, 43095, 43095, 43095, 43095]	162601924423381310525	432	11123m23456777p	14m147p
[25857, 25857, 25857, 56355, 56355, 56355, 56355]	168779809089876112736	468	66678m11123444p	69m14p
[32955, 32955, 33813, 33813, 46137]	261968338275971	876	44555666678p66s	47p6s
[25857, 32955, 46137, 56355, 78897]	278909496305960	12	5555666777789s	468s
[32955, 32955, 33813, 33813, 46137, 74698, 74698, 94809]	140520187686689747947139	6	1122333455556m	123467m
[46137, 46137, 57122, 57122, 57122]	269466962024177	15	1223345677889m	258m
[33813, 33813, 46137, 73695, 73695]	276952131541646	558	33344555m44456s	4m47s
[32955, 32955, 46137]	417634115	396	12334m11223344s	25m
[56355, 56355, 56355]	428962931	18	3334444567777p	258p
[33813, 33813, 72501, 103173]	360615206798	108	77888999m56667s	7m6s
[19773, 33813, 33813, 43095, 74698, 162129]	233369397043363733	6	5556677788889m	567m
[25857, 25857, 32955, 32955, 32955, 46137, 56355, 56355, 57122]	106024309033866231401021984	18	2334455566777p	124567p
[19773, 60333]	543893	570	34445p33444455s	4p
[25857, 25857, 32955, 32955, 56355, 56355, 56355, 57122, 57122, 57122, 78897, 127738, 127738]	44948824415983524091835660953959793184	12	2345666777888m	1245678m
[43095, 43095, 43095, 60333, 97682, 97682]	224338320701031106	36	2345555666678p	12478p
[25857, 25857, 56355, 56355, 78897, 123981, 127738]	182123716912029605408	12	1112333444456m	1237m
[43095, 43095, 44217, 44217, 60333]	270242441601922	846	55566677888m22z	47m2z
[19773, 43095, 94809]	450897269	672	34444556789s77z	7s7z
[25857, 56355, 60333, 97682]	357625074920	102	4456677778999p	45p
[19773, 43095, 43095, 60333]	341213319797	450	11m34555567789p	1m28p
[32955, 32955, 32955, 43095, 43095, 46137, 72501, 74698, 74698]	109124635720278072986001347	12	1223344555678s	13469s
